citing	cited	type	confidence	evidence
0711.2702	hep-ph/9512234	background	medium	The context mentions 'Beginning with the pionic or the nucleon-pion system' as a starting point, but no specific relationship is asserted.
0711.2702	nucl-th/0207034	background	medium	The context mentions 'one works consistently with systems of increasing nucleon number' as a general step, but no specific relationship is asserted.
0711.2702	cond-mat/0206527	background	medium	The context mentions 'one works consistently with systems of increasing nucleon number' as a general step, but no specific relationship is asserted.
0711.2702	hep-ph/0602225	background	medium	The context mentions 'four-nucleon interactions, which are also order N$^3$LO' as a future direction, but no specific relationship is asserted.
0711.2702	hep-ph/9506309	background	medium	The context mentions 'Beginning with the pionic or the nucleon-pion system' as a starting point, but no specific relationship is asserted.
0711.2702	nucl-th/0609037	background	medium	The context mentions 'four-nucleon interactions, which are also order N$^3$LO' as a future direction, but no specific relationship is asserted.
0711.2702	nucl-th/0611081	background	medium	The context says 'This strength is somewhat uncertain (see e.g. Ref.~ [TARGET])' as a reference for uncertainty, but no specific relationship is asserted.
0711.2702	hep-ph/9501384	background	medium	The context mentions 'Beginning with the pionic or the nucleon-pion system' as a starting point, but no specific relationship is asserted.
0711.2702	hep-ph/9506204	background	medium	The context mentions 'Beginning with the pionic or the nucleon-pion system' as a starting point, but no specific relationship is asserted.
0711.2702	hep-ph/9507418	background	medium	The context mentions 'Beginning with the pionic or the nucleon-pion system' as a starting point, but no specific relationship is asserted.
0711.2702	nucl-th/0305072	uses	high	The context says 'The B(M1) transition inset illustrates the importance of the NNN interaction in reproducing the experimental value [TARGET]' indicating the cited work is used as evidence.
0711.2702	nucl-th/0311043	background	medium	The context mentions 'The B(M1) transition inset illustrates the importance of the NNN interaction in reproducing the experimental value [TARGET]' but the cited paper is not the main focus.
0711.2702	nucl-th/0602003	background	medium	The context says 'This strength is somewhat uncertain (see e.g. Ref.~ [TARGET])' as a reference for uncertainty, but no specific relationship is asserted.
0711.2702	nucl-th/0203055	background	medium	The context mentions 'one works consistently with systems of increasing nucleon number' as a general step, but no specific relationship is asserted.
0711.2702	cond-mat/0209274	background	medium	The context mentions 'one works consistently with systems of increasing nucleon number' as a general step, but no specific relationship is asserted.
0711.3846	0708.3754	background	low	The context mentions decoupling and shows a figure referencing the cited paper, but no specific relationship is asserted.
0711.3846	0708.1602	background	low	The context mentions decoupling and shows a figure referencing the cited paper, but no specific relationship is asserted.
0712.0039	0704.1615	background	low	The citation context is a list of references with no surrounding sentence describing the relationship
0712.0647	hep-ph/0605215	background	low	The citation context lists multiple references including [TARGET] without asserting a specific relationship
0712.1613	nucl-th/0309062	background	high	The revival of the theme was prompted by Akaishi and Yamazaki [TARGET], who used a simple potential model
0712.1613	nucl-th/0509048	contrasts	high	This interpretation was subsequently criticized in Refs. [TARGET] with the argument that the observed spectrum may be explained by final-state interactions
0712.1613	nucl-th/0601013	contrasts	high	This interpretation was subsequently criticized in Refs. [TARGET] with the argument that the observed spectrum may be explained by final-state interactions
0712.1613	nucl-th/0701035	contrasts	high	This was considered [TARGET] to be an artifact of an unrealistic nucleon-nucleon interaction being used
0712.1613	0709.0630	background	high	The phenomenological AY model [TARGET] starts from the ansatz that the Lambda(1405) resonance is a K- p bound state
0712.1613	0707.1283	background	high	Calculations of strong binding of antikaons in a nuclear medium based on chiral SU(3) dynamics have a long history (see, e.g., Refs. [TARGET])
0712.1613	0706.4393	uses	high	Faddeev calculations were performed for KNN with phenomenological input [TARGET]
0712.1613	hep-ph/0606108	compares	high	BMN [TARGET] is listed in a table comparing scattering lengths
0712.1613	nucl-th/0610022	uses	high	Faddeev calculations were performed for KNN with phenomenological input [TARGET]
0712.1613	0704.1978	uses	high	Faddeev calculations were performed for KNN with a leading-order chiral interaction [TARGET]
0712.1613	0802.0238	background	low	The paper is listed among references without a specific relationship asserted in the context
0712.2922	nucl-th/9901087	background	low	The context mentions the fluctuation contribution to the cross section from [TARGET] as a reported finding without asserting a specific relationship
0712.3812	nucl-th/0509045	background	low	The context mentions that a small number of interesting calculations have already been performed using [TARGET], but no specific relationship is asserted.
0712.3812	cond-mat/0604255	extends	high	In [TARGET] it was shown that observables can be computed up to NNLO with no additional three-body parameter if a subtraction is employed
0712.3812	0711.1908	uses	medium	the recombination rate was determined by two and then three [TARGET] independent scaling functions
0712.3812	nucl-th/0105072	background	low	The impact of range corrections at next-to-leading order was considered in [TARGET]
0712.3812	nucl-th/9809025	background	low	a three-body force is needed at leading order for the correct renormalization of observables [TARGET]
0712.3812	cond-mat/0702290	uses	medium	In Refs. [TARGET] the recombination rate of 4He atoms was calculated with several potentials
0712.3812	cond-mat/0410417	background	low	the S-matrix elements for three-body scattering are written as a combination of universal scaling functions and complex phase factors which only contain the three-body parameter [TARGET]
0712.3812	nucl-th/0011024	uses	medium	one can use alternatively a subtraction formalism which trades the three-body force in the kernel of the three-body Faddeev equation for an explicit three-body observable in the inhomogeneity of the integral equation [TARGET]
0712.3812	nucl-th/0312021	uses	medium	one can use alternatively a subtraction formalism which trades the three-body force in the kernel of the three-body Faddeev equation for an explicit three-body observable in the inhomogeneity of the integral equation [TARGET]
0801.3210	0708.3868	background	high	In Refs. [TARGET] we already pointed out and demonstrated that relativistic kinematics is essential
0801.3210	0708.3692	uses	high	Using our experience in calculating the NN system in the GeV regime [TARGET]
0801.3210	0711.4600	background	high	Poincaré invariant quantum mechanics is the only alternative to quantum field theory where it is possible to realize the essential requirements [TARGET]
0801.3210	0705.3149	compares	high	a similar finding was presented in Ref. [TARGET], where it was observed that polarization observables ... were described better
0801.3210	0710.4056	uses	high	A detailed formulation of Poincaré invariant three-body scattering has been given in [TARGET], where the driving term ... has been used to evaluate cross sections
0801.4171	quant-ph/0407042	background	medium	The citation context mentions the cited work as an example of a possible application of the approach, without asserting a specific methodological relationship.
0802.3463	0711.4600	background	high	The context states 'It was shown [TARGET] that for the conditions attained in the electron-ion collider mode, the electron scattering cross sections are directly proportional to photonuclear processes with real photons' as a prior finding without asserting a specific relationship.
0802.3463	nucl-th/0410052	uses	high	The context says 'Overlap integrals of the type ... has been calculated by Navratil [TARGET] within the NCSM' and describes it as 'one of the inputs necessary to calculate S-factors', indicating the citing paper uses this calculation as a tool.
0803.1622	nucl-th/9404010	background	low	The citation context is a list of references with no surrounding sentence describing the relationship to the cited work.
0804.2065	nucl-th/0009069	background	low	the context only mentions neutron capture on 8Li as a leak from the primary chain
0804.2065	hep-ph/9402256	contrasts	high	Others estimate the rate of this reaction from the systematics that are based on information existing for other nuclei [TARGET] These rates vary from each other by more than an order of magnitude
0804.2065	hep-th/9410176	contrasts	high	Others estimate the rate of this reaction from the systematics that are based on information existing for other nuclei [TARGET] These rates vary from each other by more than an order of magnitude
0804.2065	nucl-th/0009038	background	low	the context only mentions neutron capture on 8Li as a leak from the primary chain
0805.2010	hep-ph/0011088	background	low	The citation context is a list of references with no specific relationship asserted.
0805.2010	nucl-th/0603013	background	low	The citation context is a list of references with no specific relationship asserted.
0805.2010	nucl-th/9603018	background	low	The citation context is a list of references with no specific relationship asserted.
0805.2010	nucl-th/0110053	background	low	The citation context is a list of references with no specific relationship asserted.
0805.2010	nucl-th/0406020	background	low	The citation context is a list of references with no specific relationship asserted.
0805.2010	0801.3210	uses	high	The formulation and numerical realization for fully Poincaré invariant ones [TARGET] have been carried out for scalar interactions up to projectile energies of 2 GeV
0805.2010	nucl-th/9303006	background	low	The citation context is a list of references with no specific relationship asserted.
0805.2010	nucl-th/9510063	background	low	The citation context is a list of references with no specific relationship asserted.
0805.2010	nucl-th/0410051	uses	high	The formulation and numerical realization for the nonrelativistic Faddeev equations [TARGET] as well as fully Poincaré invariant ones have been carried out
0805.2010	nucl-th/9608016	background	low	The citation context is a list of references with no specific relationship asserted.
0805.2010	nucl-th/0508048	background	low	The citation context is a list of references with no specific relationship asserted.
0805.2010	nucl-th/9509045	background	low	The citation context is a list of references with no specific relationship asserted.
0805.2010	0803.4012	background	low	The citation context is a list of references with no specific relationship asserted.
0805.2010	hep-ph/0210303	background	low	The citation context is a list of references with no specific relationship asserted.
0805.2667	nucl-th/9306005	background	high	cited as an example of potential cluster models in a methodological overview
0805.2667	nucl-th/0001018	contrasts	high	it was indicated that extension of the two-cluster model space might make agreement worse
0805.2667	nucl-th/0012036	contrasts	high	it was indicated that extension of the two-cluster model space might make agreement worse
0805.2667	nucl-th/9310017	background	high	cited as an example of potential cluster models in a methodological overview
0805.2667	nucl-th/0102022	contrasts	high	the variational Monte Carlo calculation found an S factor that lay significantly below the experimental values
0805.4780	hep-ph/0510156	background	low	bare mention of experimental programs using transfer reactions
0805.4780	nucl-th/0607042	extends	high	confirming the reduction of the SF previously seen [TARGET]
0805.4780	0704.3461	compares	high	this was also the finding in [TARGET]
0805.4780	0709.3637	compares	high	this was also the finding in [TARGET]
0805.4780	cond-mat/0606706	extends	high	confirming the reduction of the SF previously seen [TARGET]
0805.4780	0711.2259	background	low	bare mention of experimental programs using transfer reactions
0805.4780	0709.0228	compares	high	this was also the finding in [TARGET]
0805.4780	nucl-th/0611034	extends	high	confirming the reduction of the SF previously seen [TARGET]
0805.4780	nucl-ex/9706003	uses	high	direct neutron capture occurs via s-wave [TARGET]
0805.4780	0711.2193	compares	high	this was also the finding in [TARGET]
0805.4780	nucl-th/0206021	contrasts	high	shell model predictions appear to overestimate SFs for well bound systems when compared to experimental values [TARGET]
0805.4780	nucl-th/0701097	background	low	bare mention of experimental programs using transfer reactions
0805.4780	nucl-th/0201053	contrasts	high	shell model predictions appear to overestimate SFs for well bound systems when compared to experimental values [TARGET]
0805.4780	nucl-th/0509082	background	low	bare mention of experimental programs using transfer reactions
0805.4780	0704.3439	compares	high	this was also the finding in [TARGET]
0805.4780	nucl-th/0701043	compares	high	this was also the finding in [TARGET]
0805.4780	0711.2956	background	low	bare mention of experimental programs using transfer reactions
0805.4780	0704.3004	background	low	bare mention of experimental programs using transfer reactions
0805.4780	nucl-th/0207008	contrasts	high	shell model predictions appear to overestimate SFs for well bound systems when compared to experimental values [TARGET]
0805.4780	nucl-th/0701048	compares	high	this was also the finding in [TARGET]
0805.4780	nucl-th/9706023	uses	high	direct neutron capture occurs via s-wave [TARGET]
0805.4780	nucl-th/0610008	extends	high	confirming the reduction of the SF previously seen [TARGET]
0805.4780	hep-ph/0608188	extends	high	confirming the reduction of the SF previously seen [TARGET]
0805.4780	0711.4600	uses	high	giving further evidence for a neutron skin in neutron-rich calcium isotopes [TARGET]
0805.4780	nucl-th/0701041	compares	high	this was also the finding in [TARGET]
0805.4780	nucl-th/0605065	extends	high	confirming the reduction of the SF previously seen [TARGET]
0805.4780	0710.4103	compares	high	this was also the finding in [TARGET]
0806.0873	hep-th/0404131	uses	high	we use the single particle model of Ref. [TARGET]
0806.0873	hep-lat/0203027	contrasts	high	The analysis in Ref. [TARGET] suggested an (n,γ) cross section approximately half that found in the analysis on the RIKEN data presented in the previous section and other direct and indirect measurements
0806.0873	hep-lat/0201008	contrasts	high	The analysis in Ref. [TARGET] suggested an (n,γ) cross section approximately half that found in the analysis on the RIKEN data presented in the previous section and other direct and indirect measurements
0806.0873	hep-ph/0404089	uses	high	we use the single particle model of Ref. [TARGET]
0806.2714	nucl-th/0605033	background	low	The citation context is a bare list of references with no sentence describing the relationship.
0806.2714	nucl-th/0610087	background	low	The citation context is a bare list of references with no sentence describing the relationship.
0806.4032	0805.2667	background	low	The citation context is a list of references with no specific relationship asserted
0806.4442	0804.2823	background	low	The citation context is a list of references with no specific relationship asserted
0807.2537	nucl-th/0603004	compares	high	our estimation of the EvR cross sections in this reaction is rather close to those obtained in [TARGET]
0807.2537	hep-ph/0607100	compares	high	our estimation of the EvR cross sections in this reaction is rather close to those obtained in [TARGET]
0807.2537	0707.2588	contrasts	high	our results disagree with those obtained within the concept of the dinuclear system [TARGET]
0807.2537	nucl-th/0609078	compares	high	our estimation of the EvR cross sections in this reaction is rather close to those obtained in [TARGET]
0807.2537	nucl-th/0604031	compares	high	our estimation of the EvR cross sections in this reaction is rather close to those obtained in [TARGET]
0807.2537	hep-ph/0607062	compares	high	our estimation of the EvR cross sections in this reaction is rather close to those obtained in [TARGET]
0807.2537	hep-ph/0605178	compares	high	our estimation of the EvR cross sections in this reaction is rather close to those obtained in [TARGET]
0807.2537	0711.3721	contrasts	high	our results disagree with those obtained within the concept of the dinuclear system [TARGET]
0807.2537	nucl-th/0611035	compares	high	our estimation of the EvR cross sections in this reaction is rather close to those obtained in [TARGET]
0807.2537	nucl-th/0601025	compares	high	our estimation of the EvR cross sections in this reaction is rather close to those obtained in [TARGET]
0807.2537	nucl-th/0607047	compares	high	our estimation of the EvR cross sections in this reaction is rather close to those obtained in [TARGET]
0807.2537	nucl-th/0610006	compares	high	our estimation of the EvR cross sections in this reaction is rather close to those obtained in [TARGET]
0807.2537	hep-ph/0612168	compares	high	our estimation of the EvR cross sections in this reaction is rather close to those obtained in [TARGET]
0807.2537	nucl-th/0602010	compares	high	our estimation of the EvR cross sections in this reaction is rather close to those obtained in [TARGET]
0808.3223	0711.4992	background	low	The citation context is a list of references with no surrounding sentence describing the relationship to the cited paper.
0808.3478	nucl-th/0604057	background	low	The citation context is a bare mention of a reference with no assertion about the relationship
0809.4772	hep-ph/0605215	background	low	The citation appears in the acknowledgments section, not in the body text, and is a bare mention of the paper.
0809.4772	hep-ph/0702274	background	low	The citation context is a list of references with no surrounding text describing a relationship.
0810.0159	nucl-th/0608059	background	low	The citation context is a list of acknowledgments and references with no specific relationship asserted to the cited paper
0810.2645	0710.0769	background	low	The citation context is empty or a bare mention with no specific relationship asserted
0810.3867	nucl-th/0307095	background	low	Similar results have also been reported in Refs. [cite], and in Ref. [TARGET] which also used the ANC method
0810.3867	nucl-th/0307058	background	low	Similar results have also been reported in Refs. [cite], and in Ref. [TARGET] which also used the ANC method
0810.3867	nucl-th/0606063	uses	high	The spectroscopic factor has been set to 1.88 following Ref. [TARGET]
0810.3867	nucl-th/0004017	compares	medium	The dotted-dashed lines are the result of shell model calculations published in Ref. [TARGET]
0810.3867	nucl-th/0110073	uses	high	In Ref. [TARGET] the transfer reactions ... have been used to extract the ANC
0810.3867	nucl-th/0104017	compares	medium	This reaction was also studied in Ref. [TARGET]. They have obtained an spectroscopic factor of 0.4 ...
0810.3867	nucl-th/0603050	uses	high	The spectroscopic factor has been set to 1.88 following Ref. [TARGET]
0810.3867	nucl-th/0310087	background	low	Similar results have also been reported in Refs. [cite], and in Ref. [TARGET] which also used the ANC method
0810.3867	nucl-th/0701038	compares	high	S_17(0) is 10% smaller than that from the most recent experimental and theoretical analysis [TARGET]
0810.3867	hep-ph/0308090	uses	high	we use r_0=1.3 fm, r_c=1.2, a=0.6 fm and V_s0=-2.0 MeV, which were also adopted in Ref. [TARGET]
0810.3867	nucl-th/0305069	background	low	This reaction has also been studied in Refs. [TARGET] where a variety of potential models have been used
0810.3867	nucl-th/0301025	background	low	This reaction has also been studied in Refs. [TARGET] where a variety of potential models have been used
0810.3867	nucl-th/0610037	uses	high	The spectroscopic factor has been set to 1.88 following Ref. [TARGET]
0810.3867	0804.2065	compares	medium	The dotted line is the calculation reported in Ref. [TARGET] for the capture to the ground state
0810.3867	nucl-th/0309023	background	low	Similar results have also been reported in Refs. [cite], and in Ref. [TARGET] which also used the ANC method
0810.3867	nucl-th/0612030	uses	high	The spectroscopic factor has been set to 1.88 following Ref. [TARGET]
0810.3867	nucl-th/0602001	compares	high	the ANC found in Ref. [TARGET] is 1.55 fm^-1/2, whereas our computed ANC value is 2.17 fm^-1/2
0810.3867	nucl-th/0601047	uses	high	The spectroscopic factor has been set to 1.88 following Ref. [TARGET]
0810.3867	nucl-th/9910039	uses	high	Here we use a=0.52 fm, R=2.499 fm and V_so=-9.9 MeV, which are adopted from Ref. [TARGET]
0810.3867	nucl-th/0602032	uses	high	The spectroscopic factor has been set to 1.88 following Ref. [TARGET]
0810.3867	nucl-th/9508018	uses	high	These are the same set of parameters adopted in Ref. [TARGET]
0810.3867	hep-lat/0511020	compares	high	The ANC found in Ref. [TARGET] is 1.15 fm^-1/2, whereas our ANC = 1.31 fm^-1/2
0810.3867	nucl-th/0605002	uses	high	The spectroscopic factor has been set to 1.88 following Ref. [TARGET]
0810.3867	nucl-th/0312119	background	low	Similar results have also been reported in Refs. [cite], and in Ref. [TARGET] which also used the ANC method
0810.3867	0712.1207	compares	high	S_17(0) is 10% smaller than that from the most recent experimental and theoretical analysis [TARGET]
0810.3867	nucl-th/0107058	uses	high	In Ref. [TARGET] the transfer reactions ... have been used to extract the ANC
0810.3867	nucl-th/0304045	background	low	This reaction has also been studied in Refs. [TARGET] where a variety of potential models have been used
0810.3867	nucl-th/0102024	uses	high	In Ref. [TARGET] the transfer reactions ... have been used to extract the ANC
0810.3867	nucl-th/0301010	background	low	Similar results have also been reported in Refs. [cite], and in Ref. [TARGET] which also used the ANC method
0810.3867	nucl-th/0307092	background	low	Similar results have also been reported in Refs. [cite], and in Ref. [TARGET] which also used the ANC method
0810.3867	nucl-th/0308013	background	low	Similar results have also been reported in Refs. [cite], and in Ref. [TARGET] which also used the ANC method
0810.3867	hep-ph/0312074	background	low	Similar results have also been reported in Refs. [cite], and in Ref. [TARGET] which also used the ANC method
0810.3867	nucl-th/0306086	background	medium	The capture process for this reaction is dominated by E1 transitions from incoming s waves to bound p states [TARGET]
0810.3867	nucl-th/0602006	compares	high	the ANC found in Ref. [TARGET] is 1.55 fm^-1/2, whereas our computed ANC value is 2.17 fm^-1/2
0810.3867	cond-mat/0601034	uses	high	The spectroscopic factor has been set to 1.88 following Ref. [TARGET]
0810.3867	nucl-th/0302024	background	low	Similar results have also been reported in Refs. [cite], and in Ref. [TARGET] which also used the ANC method
0810.3867	nucl-th/0112034	uses	high	In Ref. [TARGET] the transfer reactions ... have been used to extract the ANC
0810.3867	nucl-th/0605076	uses	high	The spectroscopic factor has been set to 1.88 following Ref. [TARGET]
0810.3867	nucl-th/0307094	background	low	Similar results have also been reported in Refs. [cite], and in Ref. [TARGET] which also used the ANC method
0810.3867	nucl-th/0310006	background	low	Similar results have also been reported in Refs. [cite], and in Ref. [TARGET] which also used the ANC method
0810.3867	nucl-th/0102023	uses	high	In Ref. [TARGET] the transfer reactions ... have been used to extract the ANC
0810.3867	nucl-th/0102052	uses	high	In Ref. [TARGET] the transfer reactions ... have been used to extract the ANC
0810.3867	nucl-th/0304071	background	medium	The capture process for this reaction is dominated by E1 transitions from incoming s waves to bound p states [TARGET]
0810.3867	nucl-th/0306020	background	low	Similar results have also been reported in Refs. [cite], and in Ref. [TARGET] which also used the ANC method
0810.3867	nucl-th/0312037	background	low	Similar results have also been reported in Refs. [cite], and in Ref. [TARGET] which also used the ANC method
0810.3867	nucl-th/9908003	uses	high	Here we use a=0.52 fm, R=2.499 fm and V_so=-9.9 MeV, which are adopted from Ref. [TARGET]
0810.3867	0806.0873	uses	high	In Ref. [TARGET] a theoretical analysis of existing experimental data ... was used to infer the asymptotic normalization coefficient
0810.3867	0711.2702	compares	high	S_17(0) is 10% smaller than that from the most recent experimental and theoretical analysis [TARGET]
0810.3867	nucl-th/9601030	background	medium	This has been discussed in details in Ref. [TARGET]
0810.3867	nucl-th/9908087	compares	medium	The non-resonant capture calculation from Ref. [cite] and [TARGET] are shown as open circles and dashed line
0810.3867	nucl-th/0308034	background	low	Similar results have also been reported in Refs. [cite], and in Ref. [TARGET] which also used the ANC method
0810.3867	0707.4680	compares	high	S_17(0) is 10% smaller than that from the most recent experimental and theoretical analysis [TARGET]
0810.3867	astro-ph/9909317	uses	medium	The experimental data are from Ref. [cite] ... Ref. [TARGET] (solid triangle, open triangle, solid square, solid circle, solid diamond and open diamond)
0811.1338	0704.0481	background	low	failed to parse response
0811.1338	0801.2317	background	low	failed to parse response
0811.1338	hep-ph/0602225	background	low	failed to parse response
0811.1338	nucl-th/0109072	background	low	failed to parse response
0811.1338	nucl-th/0511082	background	low	failed to parse response
0811.1338	nucl-th/9807082	background	low	failed to parse response
0811.1338	nucl-th/0104030	background	low	failed to parse response
0811.1338	nucl-th/0611096	background	low	failed to parse response
0811.1338	hep-ph/9209257	background	low	failed to parse response
0811.1338	nucl-th/0606006	background	low	failed to parse response
0811.1338	nucl-th/9808006	background	low	failed to parse response
0811.1338	nucl-th/0010078	background	low	failed to parse response
0811.1338	nucl-th/0208040	background	low	failed to parse response
0811.1338	nucl-th/0502052	background	low	failed to parse response
0811.1338	nucl-th/0106007	background	low	failed to parse response
0811.1338	nucl-th/9408016	background	low	failed to parse response
0811.1338	nucl-th/9805008	background	low	failed to parse response
0811.1338	hep-ph/9902370	background	low	failed to parse response
0811.1338	0802.2646	background	low	failed to parse response
0811.1338	nucl-th/0308010	background	low	failed to parse response
0811.1338	nucl-th/0510047	background	low	failed to parse response
0811.1338	nucl-th/0512035	background	low	failed to parse response
0811.1338	nucl-th/0409023	background	low	failed to parse response
0811.1338	nucl-th/9901082	background	low	failed to parse response
0811.1338	nucl-th/0402021	background	low	failed to parse response
0811.1338	0707.4325	background	low	failed to parse response
0811.1338	0804.4643	background	low	failed to parse response
0811.1338	nucl-th/0304018	background	low	failed to parse response
0811.1338	nucl-th/0101003	background	low	failed to parse response
0811.1338	nucl-th/0009001	background	low	failed to parse response
0811.1338	nucl-th/0006014	background	low	failed to parse response
0811.1338	nucl-th/0402072	background	low	failed to parse response
0811.1338	nucl-th/0304025	background	low	failed to parse response
0811.1338	nucl-th/0509076	background	low	failed to parse response
0811.1338	nucl-th/9601025	background	low	failed to parse response
0811.1338	hep-ph/0311116	background	low	failed to parse response
0811.1338	hep-ph/9908247	background	low	failed to parse response
0811.1338	nucl-th/0606017	background	low	failed to parse response
0811.1338	nucl-th/0004043	background	low	failed to parse response
0811.1338	nucl-th/9512036	background	low	failed to parse response
0811.1338	nucl-th/0409040	background	low	failed to parse response
0811.1338	nucl-th/9809025	background	low	failed to parse response
0811.1338	quant-ph/0503074	background	low	failed to parse response
0811.1338	0704.1461	background	low	failed to parse response
0811.1338	nucl-th/0406026	background	low	failed to parse response
0811.1338	nucl-th/0302041	background	low	failed to parse response
0811.1338	0704.0443	background	low	failed to parse response
0811.1338	nucl-th/0501049	background	low	failed to parse response
0811.1338	hep-lat/0501018	background	low	failed to parse response
0811.1338	nucl-th/9907078	background	low	failed to parse response
0811.1338	0807.3258	background	low	failed to parse response
0811.1338	nucl-th/0208021	background	low	failed to parse response
0811.1338	nucl-th/0004023	background	low	failed to parse response
0811.1338	0801.0729	background	low	failed to parse response
0811.1338	0804.1560	background	low	failed to parse response
0811.1338	hep-ph/9709453	background	low	failed to parse response
0811.1338	0705.4335	background	low	failed to parse response
0811.1338	cond-mat/0404313	background	low	failed to parse response
0811.1338	nucl-th/0601099	background	low	failed to parse response
0811.1338	nucl-th/0402027	background	low	failed to parse response
0811.1338	hep-lat/0312004	background	low	failed to parse response
0811.1338	0712.1969	background	low	failed to parse response
0811.1338	nucl-th/0611087	background	low	failed to parse response
0811.1338	0704.3726	background	low	failed to parse response
0811.1338	nucl-th/0702040	background	low	failed to parse response
0811.1338	nucl-th/9906048	background	low	failed to parse response
0811.1338	nucl-th/0203055	background	low	failed to parse response
0811.1338	nucl-th/9706045	background	low	failed to parse response
0811.1338	hep-ph/9803266	background	low	failed to parse response
0811.1338	0708.1780	background	low	failed to parse response
0811.1338	nucl-th/0509032	background	low	failed to parse response
0811.1338	hep-ph/9903375	background	low	failed to parse response
0811.1338	nucl-th/0108005	background	low	failed to parse response
0811.1338	nucl-th/0207034	background	low	failed to parse response
0811.1338	nucl-th/0205016	background	low	failed to parse response
0811.1338	nucl-th/0605004	background	low	failed to parse response
0811.1338	nucl-th/0702015	background	low	failed to parse response
0811.1338	nucl-th/9608026	background	low	failed to parse response
0811.1338	0808.1230	background	low	failed to parse response
0811.1338	nucl-th/9610052	background	low	failed to parse response
0811.1338	nucl-th/9802038	background	low	failed to parse response
0811.1338	nucl-th/0305035	background	low	failed to parse response
0811.1338	0712.2993	background	low	failed to parse response
0811.1338	nucl-th/0212049	background	low	failed to parse response
0811.1338	nucl-th/0110031	background	low	failed to parse response
0811.1338	0705.4565	background	low	failed to parse response
0811.1338	0706.1242	background	low	failed to parse response
0811.1338	nucl-th/0506047	background	low	failed to parse response
0811.1338	nucl-th/0602060	background	low	failed to parse response
0811.1338	nucl-th/9512011	background	low	failed to parse response
