citing	cited	new_type	confidence	rationale
0705.1681	hep-ph/0203202	uses	high	The citing paper notes a limitation of its own derived operator for certain transitions, citing the target paper as evidence of a large enhancement factor, not disputing the target's claims.
0705.1447	hep-ph/0606316	compares	high	The citing paper describes differences in wake structure due to collisions compared to the collisionless case in [TARGET], but does not dispute [TARGET]'s claims.
0706.2693	nucl-th/0504084	compares	high	The citing paper notes differences from the g-folding model but does not assert the cited paper's claims are wrong.
0705.4565	nucl-th/9802071	uses	high	The citing paper mentions [TARGET] as an example of explicit delta contributions, which they choose to disregard, not as a dispute.
0705.2198	hep-lat/0703008	uses	high	The citing paper mentions the cited paper's default model as an alternative, but does not dispute its claims; it simply chooses a different model for its own analysis.
0705.3047	0704.0612	background	low	The context mentions a reference to [TARGET] on pre-asymptotic violations of geometrical scaling, but does not clearly assert a dispute with the cited paper's own claims.
0705.0021	nucl-th/0205043	uses	high	The citing paper mentions hydrodynamic models as a contrast to their own approach, but does not dispute the cited paper's claims; it uses it as an example of a different method.
0704.3553	hep-ph/0608062	uses	high	The citing paper uses the cited paper's perturbative estimate as a contrasting data point, not as a dispute of its claims.
0704.3553	nucl-th/0505036	contrasts	high	The citing paper explicitly states that the cited paper's EoS overpredicted flow data, indicating a disagreement with its results.
0704.0318	nucl-th/9709005	contrasts	low	recheck response unparseable, original label kept
0704.1699	hep-ph/0012137	uses	high	The citing paper uses [TARGET] as an example of Glauber model initial conditions, not as a dispute.
0704.1699	nucl-th/0609021	uses	high	The citing paper references [TARGET] as a tool for calculating gluon production, not as a disagreement.
0704.3668	nucl-th/9904016	contrasts	high	The citing paper explicitly states it iterates potentials in a Lippmann-Schwinger equation, contrary to the cited paper's use of Born approximation, implying a methodological correction.
0705.2852	nucl-th/0411101	uses	high	The citing paper notes the cited paper's small angle approximation is not good, but uses the cited paper's numerical results as a basis for further work, not as a dispute.
0705.2852	nucl-th/0410079	uses	high	The citing paper references the cited paper's approximation as inadequate but relies on its numerical results, indicating use rather than contrast.
0705.2575	hep-ph/0406201	uses	high	The citing paper describes [TARGET] as an example of early jet quenching calculations with simplified medium description, not as a disputed claim.
0705.2575	nucl-th/0608043	uses	high	The citing paper groups [TARGET] with other works using simplified medium descriptions, not as a target of dispute.
0705.3027	nucl-th/9906016	compares	high	The context notes a difference in the importance of higher-order self-energy corrections between the cited K^- nucleus case and the current work, but does not assert the cited paper's claims are wrong.
0706.3356	hep-ph/9402335	contrasts	medium	The citing paper states that some models neglect leading-twist shadowing, which is the cited paper's focus, implying a disagreement with its approach.
0706.1522	nucl-th/0609021	uses	medium	The citing paper notes issues raised by [TARGET] but does not assert [TARGET]'s claims are wrong; it uses [TARGET] to support a point about eccentricities.
0706.1522	nucl-th/0511046	uses	high	The citing paper mentions [TARGET] as a suggestion for larger v2, not as a dispute; it uses [TARGET] as a possible alternative.
0706.1522	nucl-th/0506049	uses	high	Same context as item 2; [TARGET] is cited as a suggestion, not as a claim being contradicted.
0704.3726	nucl-th/9802057	uses	high	The citing paper contrasts its own subtracted equations with the unsubtracted ones, citing [TARGET] as an example of the unsubtracted approach, not as a dispute.
0704.3726	nucl-th/9809025	uses	high	Same context as item 1; [TARGET] is cited as an example of unsubtracted equations, not as a disputed claim.
0704.3726	nucl-th/9811046	uses	high	Same context as item 1; [TARGET] is cited as an example of unsubtracted equations, not as a disputed claim.
0706.2911	nucl-th/9703026	contrasts	high	The citing paper states that the cited paper's approach cannot solve the s-p shell gap problem, implying a limitation or disagreement with its conclusions.
0706.2911	nucl-th/9710018	contrasts	high	Same context as above, explicitly says the cited paper's method fails to solve the problem, indicating a dispute with its results.
0704.3234	hep-ph/0702025	contrasts	high	The citing paper explicitly states that the cited paper uses a different T0 value (270 MeV) than their own (208 MeV), implying a disagreement on the parameter choice.
0704.3234	hep-ph/0611147	contrasts	high	The citing paper criticizes the cited paper's choice of Polyakov loop potential leading to negative susceptibilities, and states that the cited paper's results are not positive, indicating a dispute with the cited paper's findings.
0705.1147	0705.1352	contrasts	high	The citing paper explicitly states its resummation leads to a diffusion equation in contrast to previous derivations, implying a conceptual difference with the cited work.
0705.1147	hep-ph/0611135	contrasts	high	The citing paper points out that the cited paper defined the diffusion tensor D four times larger, leading to different formulas for broadening and q, indicating a quantitative disagreement.
0706.3408	hep-lat/0607001	uses	high	The citing paper notes that the cited paper used only the time-component of the current, but this is a description of method, not a dispute.
0706.3408	hep-lat/0610103	uses	high	Same context as above, describing the cited paper's approach without asserting any error or tension.
0706.3958	nucl-th/0610121	background	low	Context mentions a limitation of the cited paper but does not assert a dispute or correction.
0706.4084	astro-ph/0605424	uses	high	The citing paper references the cited paper as part of prior constraints, not as a dispute.
0707.0377	nucl-ex/0505014	uses	high	The citing paper references [TARGET] as a reason not to correct for Coulomb interactions, not as a dispute.
0706.4165	0705.0469	background	low	The context mentions fixing particle-particle strength but does not assert a dispute with the cited paper's claims.
0708.1118	nucl-th/0510075	compares	high	The context notes a difference in definition of constituent-quark mass, not a dispute of the cited paper's claims.
0707.0632	hep-ph/9912531	uses	high	The citing paper mentions a controversy but cites [TARGET] as providing a specific weak-coupling result, not as a dispute.
0707.0632	hep-ph/0002209	uses	high	The citing paper cites [TARGET] for a specific weak-coupling result, not as a disagreement.
0707.0399	hep-ph/0408274	uses	high	The citing paper references [TARGET] as prior work that did not find stable tetraquarks, without asserting any error or tension.
0707.0564	nucl-th/0110037	contrasts	high	The citing paper states that ideal hydrodynamics models, as in the target, predict v2 values not exceeding 0.06, implying a quantitative tension with the citing paper's findings.
0707.3389	nucl-th/9911014	contrasts	high	The citing paper states that despite Lenske et al.'s constraints, they could not explain the small spin-orbit force, implying a failure of their approach.
0707.1861	hep-ph/0408261	compares	high	The citing paper describes modifications to the cited paper's analysis, not a direct dispute of its claims.
0707.1861	nucl-th/0306076	contrasts	medium	The citing paper criticizes the cited paper's linear approximation method as yielding significant uncertainties, implying a methodological tension.
0706.4277	nucl-th/0611052	contrasts	high	The citing paper explicitly states that the solution given in the cited paper differs from theirs, indicating a dispute over the correct solution.
0706.4277	0704.3757	contrasts	high	The citing paper notes that the solution in the cited paper differs from theirs, implying a disagreement on the result.
0706.4277	nucl-th/0606026	contrasts	high	The citing paper explicitly states that the solution given in the cited paper differs from theirs, indicating a dispute over the correct solution.
0707.1504	nucl-th/0301099	compares	high	The citing paper contrasts its calculated viscosity bound with the RHIC values, but does not dispute the cited paper's claims.
0707.1504	nucl-th/0506049	compares	high	The citing paper contrasts its calculated viscosity bound with the RHIC values, but does not dispute the cited paper's claims.
0708.0207	hep-lat/0403028	compares	high	The citing paper contrasts the noise behavior of two-meson systems with multi-nucleon systems, not disputing the cited paper's claims.
0708.0207	nucl-th/0402051	uses	high	The citing paper mentions twisted boundary conditions as an example of an alternative approach, not as a dispute with the cited paper's findings.
0708.0995	nucl-th/0701017	contrasts	high	The citing paper explicitly addresses and refutes KM's claim of non-covariance, asserting their own states are covariant.
0707.2389	nucl-th/0203011	uses	high	The citing paper notes that previous calculations did not include temperature effects, but does not assert the cited paper's claims are wrong.
0707.2389	nucl-th/0211045	uses	high	Same context as above; the cited paper is referenced as prior work lacking temperature effects, not as disputed.
0705.2952	nucl-th/9902052	contrasts	high	The citing paper explicitly excludes the subtraction method of the cited paper as a regularization approach.
0705.2952	nucl-th/9910064	compares	medium	The citing paper notes an improvement over the cited paper's finite cut-off but does not assert the cited paper is wrong.
0705.2952	nucl-th/0104030	contrasts	high	The citing paper contrasts its regularization method with the cited paper's square-well regulators, noting a different RG flow structure that influences phase shifts.
0705.2952	nucl-th/0304037	contrasts	high	The citing paper states that the cited paper rejects assumption (i) and accepts (iii), indicating a disagreement on these points.
0705.2952	nucl-th/0308010	contrasts	high	Same as item 4, the cited paper is listed as rejecting (i) and accepting (iii), showing a dispute.
0705.2952	nucl-th/0405048	contrasts	high	Same as item 4, the cited paper is listed as rejecting (i) and accepting (iii), showing a dispute.
0705.2952	nucl-th/0402054	compares	medium	The citing paper contrasts the simplicity of its derivation with the cumbersome treatment in the cited paper, but does not claim the cited paper's results are wrong.
0707.4672	nucl-th/0310016	uses	high	The citing paper references [TARGET] as an example of an assumption about dominant harmonic flow, not as a dispute.
0707.4672	nucl-th/0105040	compares	high	The citing paper notes that [TARGET] discussed a similar problem but emphasizes its own independent approach, without asserting [TARGET]'s claims are wrong.
0708.1322	0707.2637	background	low	Context only mentions different focus and overlap, no dispute stated.
0708.1613	hep-th/0206230	background	low	Context is too thin to establish a direct dispute with the cited paper.
0708.3692	nucl-th/9911080	background	low	Context is too thin to establish a dispute with the cited paper.
0708.1252	0709.0742	uses	high	The citing paper references [TARGET] as a prior calculation, not as a disputed claim.
0707.1898	hep-ph/0206278	uses	high	The citing paper cites [TARGET] as evidence of the hydrodynamic model's failure to reproduce HBT radii, not as a dispute with the cited paper's own claims.
0707.1898	nucl-ex/0505014	uses	high	The citing paper cites [TARGET] as evidence of the model's failure, not as a disagreement with the cited paper's conclusions.
0707.1898	nucl-th/0602023	uses	high	The citing paper cites [TARGET] as evidence of the model's failure, not as a dispute with the cited paper's own findings.
0706.1756	hep-ph/0110220	uses	high	The citing paper uses Lhersonneau and Wang's findings as evidence to counter a caution from other authors, not disputing the cited paper itself.
0706.1756	nucl-th/0608016	contrasts	medium	The citing paper notes that Zhu et al. confirms only one 0+ level, implying a discrepancy with previous assignments of two levels.
0706.1756	nucl-th/0105053	uses	high	Same context as item 1, citing Lhersonneau and Wang as support for intruder states.
0706.1756	hep-ph/0101251	uses	high	Same context as item 1, citing Lhersonneau and Wang as support for intruder states.
0706.1756	nucl-th/0104031	uses	high	Same context as item 1, citing Lhersonneau and Wang as support for intruder states.
0706.1756	nucl-th/0106043	uses	high	Same context as item 1, citing Lhersonneau and Wang as support for intruder states.
0706.1756	nucl-th/0111040	uses	high	Same context as item 1, citing Lhersonneau and Wang as support for intruder states.
0706.1756	hep-ph/0102230	uses	high	Same context as item 1, citing Lhersonneau and Wang as support for intruder states.
0706.1756	nucl-th/0601049	contrasts	medium	The citing paper notes Zhu et al. confirms only one 0+ level, implying a discrepancy with previous assignments of two levels.
0706.1756	nucl-th/0110016	uses	high	Same context as item 1, citing Lhersonneau and Wang as support for intruder states.
0706.1756	nucl-th/0605038	contrasts	medium	The citing paper notes Zhu et al. confirms only one 0+ level, implying a discrepancy with previous assignments of two levels.
0709.0969	nucl-th/0610027	uses	high	The citing paper references [TARGET] as evidence for different transition rates, not as a dispute.
0709.3434	nucl-th/0409046	background	low	Context mentions a caveat but does not clearly assert the cited paper's claims are wrong or in tension.
0708.4091	hep-ph/0204262	contrasts	high	The citing paper explicitly states that the cited authors did not construct pure string solutions, which is a direct correction of their omission.
0709.1716	nucl-th/0611017	uses	high	The citing paper cites [TARGET] as evidence of a problem, not as a dispute with [TARGET]'s own claims.
0709.2884	nucl-th/0512076	uses	high	The citing paper mentions pQCD radiative energy loss cannot explain data, but [TARGET] is cited as an example of pQCD elastic scattering inclusion, not as a disputed claim.
0709.3181	nucl-th/0503013	contrasts	medium	The citing paper notes a disagreement in preferred resonances between its model and the cited paper's model.
0709.3105	nucl-th/0602009	uses	high	The citing paper references the cited paper's exclusion of specific particles as a methodological choice, not as a dispute.
0709.1409	nucl-th/0411031	compares	high	The citing paper notes a difference in explanation approach, not a dispute with the cited paper's claims.
0708.2876	astro-ph/0408467	compares	medium	The citing paper notes a different route from precession, not a dispute with the cited paper's claims.
0709.1955	hep-lat/0603026	contrasts	high	The citing paper argues that finite volume corrections to polarizabilities cannot be derived from Taylor series expansions, directly contradicting the cited paper's method.
0708.3754	nucl-th/0412004	uses	medium	The citing paper references [TARGET] as an example of Lee-Suzuki transformations with negative consequences, not as a dispute.
0709.3366	nucl-th/0612105	background	low	Context is too thin to establish a dispute with the cited paper.
0709.1089	nucl-th/0507063	background	low	The context mentions theoretical alternatives but does not specify a dispute with the cited paper.
0709.1089	hep-ph/0501255	background	low	The context mentions theoretical alternatives but does not specify a dispute with the cited paper.
0708.3015	0707.0564	contrasts	high	The citing paper explicitly states its finding is in stark contrast to the extrapolations by the cited paper.
0709.3637	nucl-th/0505052	uses	high	The citing paper uses the cited paper's lattice QCD result as evidence for the absence of qs bound states, not disputing it.
0709.0449	0707.1516	uses	high	The citing paper cites the coupled-cluster calculations as support for its disagreement with Roth and Navratil, not as a dispute with the cited paper itself.
0709.3845	hep-ph/9705433	compares	medium	Notes differences in definitions and equations but does not assert the cited paper is wrong.
0709.4583	nucl-th/0003035	uses	high	The citing paper mentions the cited paper as an example of an effective Lagrangian approach, not as a dispute.
0710.0310	hep-ph/9507308	compares	high	The context notes a methodological difference in deriving the effective interaction, not a dispute with the cited paper's claims.
0709.4134	nucl-th/0205063	background	low	Context is too thin to establish a dispute with the cited paper.
0709.3645	0704.2039	background	low	Context is too thin to establish a dispute with the cited paper.
0709.3645	nucl-th/0607018	background	low	Context is too thin to establish a dispute with the cited paper.
0708.4096	hep-ph/0109173	contrasts	low	recheck response unparseable, original label kept
0708.4096	hep-ph/0305235	contrasts	low	recheck response unparseable, original label kept
0708.4096	hep-ph/0204124	contrasts	low	recheck response unparseable, original label kept
0709.4651	hep-th/0702136	contrasts	high	The citing paper explicitly states Cohen's construction 'seems to invalidate' the conjectured viscosity bound, directly disputing Cohen's claim.
0709.0728	hep-lat/0607030	uses	high	The citing paper uses the cited lattice result as evidence for a smaller C5A value, not disputing it.
0709.0728	nucl-th/0601103	compares	medium	The citing paper contrasts its quantum treatment with the cited semiclassical approach, but does not dispute the cited paper's claims.
0710.2945	nucl-th/0507012	background	low	Context is truncated and does not clearly establish a dispute with the cited paper.
0709.0742	nucl-th/0301099	contrasts	high	Citing paper asserts Teaney's viscosity limit is not restrictive enough and may be inconsistent with data.
0709.0742	nucl-th/0511046	uses	medium	Citing paper mentions underestimated eccentricity as a possibility, citing the paper as a potential explanation, not a dispute.
0709.0742	hep-th/0702136	uses	medium	Citing paper cites Cohen's counterexamples as support for the idea that QCD might violate the viscosity bound, not disputing them.
0709.3677	nucl-th/0003027	contrasts	high	The citing paper explicitly states that the cited solutions are accelerationless, while its own solutions are accelerating, implying a conceptual tension.
0709.3677	nucl-th/0306004	contrasts	high	The citing paper explicitly states that the cited solutions are accelerationless, while its own solutions are accelerating, implying a conceptual tension.
0709.3677	nucl-th/0305059	contrasts	high	The citing paper explicitly states that the cited solutions are accelerationless, while its own solutions are accelerating, implying a conceptual tension.
0710.1905	0709.3645	background	low	The context mentions ambiguities in dissipative hydrodynamics but does not assert a specific dispute with the cited paper's claims.
0710.1084	hep-ph/9908235	uses	high	The citing paper references the cited paper as prior work on color superconductivity in magnetic fields, not as a dispute.
0710.3537	nucl-th/0511054	uses	high	The citing paper references [TARGET] as support for the cancellation of leading TPE parts, not as a dispute.
0710.3577	hep-lat/0509067	uses	high	The citing paper mentions background field methods as an alternative approach, citing [TARGET] as an example, without disputing its claims.
0710.3874	nucl-th/0312078	background	low	Context mentions previous studies showed instability, but no explicit dispute with [TARGET]'s claims.
0710.0016	0708.3015	contrasts	high	The citing paper explicitly states that [TARGET] predicts a decrease in elliptic flow, which contradicts the citing paper's prediction of an increase.
0710.0016	0707.1251	contrasts	high	The citing paper explicitly states that [TARGET] predicts a decrease in elliptic flow, which contradicts the citing paper's prediction of an increase.
0710.0016	hep-ph/0603092	compares	medium	The citing paper notes a difference in the type of turbulence assumed, but does not assert that [TARGET]'s claims are wrong.
0710.4250	nucl-th/0606017	background	low	The context mentions a more careful estimation but does not explicitly state a dispute with the cited paper's claims.
0710.0605	hep-ph/0412402	contrasts	high	The citing paper explicitly contrasts Renk's conclusion with Mustafa and Thoma's finding, implying a dispute over the role of collisional energy loss.
0710.0605	hep-ph/0311168	contrasts	high	Same context as above, directly contrasting the cited paper's claim with Renk's, indicating a real disagreement.
0708.3436	astro-ph/0405262	uses	high	The citing paper cites this paper as support for the claim that its model is at odds with experimental constraints, not as a dispute with the cited paper itself.
0708.3436	astro-ph/0612440	uses	high	The citing paper cites this paper as support for the claim that its model is at odds with experimental constraints, not as a dispute with the cited paper itself.
0708.3436	astro-ph/0002232	uses	high	The citing paper cites this paper as support for the claim that its model is at odds with experimental constraints, not as a dispute with the cited paper itself.
0708.3436	nucl-th/0410066	uses	high	The citing paper cites this paper as support for the claim that its model is inconsistent with data, not as a dispute with the cited paper itself.
0708.3436	nucl-th/0511064	uses	high	The citing paper cites this paper as support for the claim that its model is inconsistent with data, not as a dispute with the cited paper itself.
0708.3436	nucl-th/0607040	uses	high	The citing paper cites this paper as support for the claim that its model is inconsistent with data, not as a dispute with the cited paper itself.
0709.2770	hep-th/9810049	uses	high	Citing paper uses the cited paper's reported violation of Wigner causality as supporting evidence for its own consistency argument.
0709.2770	nucl-th/9801034	contrasts	medium	Citing paper describes previous perturbative attempts as unsuccessful, implying disagreement with the cited paper's approach.
0709.2770	nucl-th/9802075	contrasts	medium	Same context as item 2, describing previous perturbative attempts as unsuccessful.
0709.2770	nucl-th/9906056	contrasts	medium	Same context as item 2, describing previous perturbative attempts as unsuccessful.
0709.2770	nucl-th/0609050	contrasts	high	Citing paper explicitly contrasts its pessimistic view with the cited paper's more optimistic view, indicating a dispute.
0709.2770	nucl-th/9911001	contrasts	medium	Same context as item 2, describing previous perturbative attempts as unsuccessful.
0710.4476	hep-ph/0506049	uses	high	The citing paper references [TARGET] as an example of assuming equal decoupling temperatures, not as a dispute.
0710.3366	0709.0742	background	low	Context is too thin to establish a direct dispute with the cited paper.
0710.3366	nucl-th/0610108	background	low	Context is too thin to establish a direct dispute with the cited paper.
0710.3366	nucl-th/0301099	background	low	Context is too thin to establish a direct dispute with the cited paper.
0710.3634	0706.4381	compares	high	The citing paper notes a difference in approximation method from the cited paper, but does not assert the cited paper's results are wrong.
0711.0699	hep-lat/0602026	uses	high	The citing paper cites [TARGET] as an example of when the determinant trick fails, not as a dispute of [TARGET]'s claims.
0710.5932	hep-th/0104066	compares	high	The context contrasts perturbative estimates with the SYM result, but does not dispute the cited paper's claims.
0711.1812	nucl-th/0308042	contrasts	low	recheck response unparseable, original label kept
0711.1562	cond-mat/0604500	contrasts	low	recheck response unparseable, original label kept
0710.2770	nucl-th/0506005	uses	medium	The context mentions [TARGET] as an example of keeping finite cutoffs, not as a dispute.
0710.2770	nucl-th/9901054	contrasts	high	The citing paper states that polynomial expansions from [TARGET] do not work for small cutoffs, directly contradicting [TARGET]'s approach.
0710.3033	nucl-th/0610067	contrasts	high	The citing paper reanalyzes data and disputes the earlier claim of a large mass shift.
0710.3033	nucl-th/0610085	contrasts	high	The citing paper argues that possible omega bound states could not be observed with ELSA resolution, contradicting the cited study.
0710.3033	nucl-ex/0504010	contrasts	high	The citing paper directly challenges the cited paper's claim of in-medium modifications by reanalysis.
0711.2402	nucl-th/0404088	contrasts	low	recheck response unparseable, original label kept
0711.2639	nucl-th/9802033	compares	medium	The context notes a difference in calculated kaon potential values between coupled channel and selfconsistent treatments, but does not assert that the cited paper's claims are wrong.
0711.0260	nucl-ex/9905002	compares	medium	The citing paper notes its phase transition differs from previously known types, but does not assert the cited paper's claims are wrong.
0711.0260	nucl-th/0107054	uses	high	The citing paper cites the Monte Carlo Shell Model study as an example of prior work, not as a disputed claim.
0711.0974	hep-ph/0503239	contrasts	high	The citing paper explicitly states it differs from [TARGET]'s assumption of chemical equilibrium, forming yields differently.
0710.1186	hep-ph/9809325	contrasts	low	recheck response unparseable, original label kept
0710.1186	hep-ph/9812257	contrasts	low	recheck response unparseable, original label kept
0710.1186	hep-ph/9804234	contrasts	low	recheck response unparseable, original label kept
0710.1186	hep-ph/9801450	contrasts	low	recheck response unparseable, original label kept
0711.3237	astro-ph/0502150	contrasts	high	The citing paper explicitly notes that [TARGET] gives a local star formation rate of 1.6e-2, which implies f_star=2.5, while the citing paper adopts f_star=1, indicating a quantitative disagreement.
0711.3039	hep-ph/0204211	contrasts	high	The citing paper explicitly corrects the earlier estimate of the gluon liberation coefficient c from 0.5 to 1.1, directly contradicting the cited paper's conclusion.
0711.3522	hep-ph/0601109	uses	medium	The citing paper references [TARGET] as a source of theoretical predictions for comparison, not as a dispute.
0712.0117	nucl-th/0602014	uses	high	The citing paper mentions [TARGET] as a suggested step toward unified description, not as a dispute.
0711.1275	0708.0071	uses	high	The citing paper cites the target as evidence that non-trivial effects may challenge the Coulomb barrier belief, not as a dispute.
0711.1275	0705.2852	uses	high	Same context as first item, target cited as support for possible non-trivial effects, not a dispute.
0711.1275	nucl-th/0702050	contrasts	high	The citing paper explicitly states that in contrast with previous Helm-model studies, no collective halo is identified, directly contradicting the target's findings.
0710.5795	nucl-th/0611017	uses	high	The citing paper uses the KLN model as an alternative initial condition, not disputing its claims.
0710.5795	nucl-th/9307020	contrasts	medium	The citing paper suggests the thermal model fit should be restricted, implying a limitation or correction to its applicability.
0710.5795	nucl-th/0404039	uses	high	The citing paper uses the KLN model as an alternative initial condition, not disputing its claims.
0710.5795	nucl-th/0604038	uses	high	The citing paper uses the KLN model as an alternative initial condition, not disputing its claims.
0710.5795	nucl-th/0609021	uses	high	The citing paper uses the KLN model as an alternative initial condition, not disputing its claims.
0711.4785	nucl-th/0609037	background	low	Context mentions controversy but does not specify that the cited paper's claims are disputed by the citing paper.
0712.1294	hep-ph/0210210	compares	high	The context contrasts the relative sizes of corrections in two different physical cases, not a dispute with the cited paper's claims.
0711.3173	nucl-th/0210056	uses	high	The citing paper references Aroua et al. as evidence for a good description, not as a dispute.
0711.3173	nucl-th/0305090	contrasts	high	The citing paper states Navratil and Ormand show it is not possible to get the ground state spin, implying a disagreement with their result.
0712.1364	0709.0449	uses	high	The citing paper mentions the cited paper as an example of a commented uncontrolled approximation, not as a dispute of the cited paper's own claims.
0711.4643	nucl-th/0305030	compares	high	The citing paper notes its prediction differs from lattice gauge theory predictions, but this is a neutral comparison of different approaches, not a dispute of the cited paper's claims.
0711.0637	hep-ph/0002145	uses	high	Citing paper notes exact-diagonalization calculations were reported but lacked CPD analysis, not disputing the cited paper's claims.
0711.0637	hep-ph/0011189	uses	high	Same context, cited as an example of early exact-diagonalization work, not a dispute.
0711.0637	hep-ph/0004250	uses	high	Same context, cited as an example of early exact-diagonalization work, not a dispute.
0711.0637	hep-ph/0108215	uses	high	Same context, cited as an example of early exact-diagonalization work, not a dispute.
0711.0637	hep-ph/0103114	uses	high	Same context, cited as an example of early exact-diagonalization work, not a dispute.
0710.0332	nucl-th/0509091	contrasts	high	The citing paper explicitly states it does not observe focusing of trajectories towards the CEP, in contrast to the cited paper's findings.
0710.0332	nucl-th/0001033	compares	medium	The citing paper notes its approach differs from using a kinetic model for freeze-out, but this is a methodological difference, not a dispute.
0710.0332	nucl-th/9901046	compares	medium	Same context as item 2, describing a methodological difference in freeze-out procedure.
0710.0332	nucl-th/9903045	compares	medium	Same context as item 2, describing a methodological difference in freeze-out procedure.
0710.0332	nucl-th/0410078	contrasts	high	The citing paper explicitly states it does not observe focusing of trajectories towards the CEP, in contrast to the cited paper's findings.
0710.0332	nucl-th/9902062	compares	medium	Same context as item 2, describing a methodological difference in freeze-out procedure.
0710.0332	nucl-th/9806004	compares	medium	Same context as item 2, describing a methodological difference in freeze-out procedure.
0710.0332	nucl-th/0104041	compares	medium	Same context as item 2, describing a methodological difference in freeze-out procedure.
0710.0332	nucl-th/0607018	compares	medium	Same context as item 2, describing a methodological difference in freeze-out procedure.
0710.0332	nucl-th/0110037	compares	medium	Same context as item 2, describing a methodological difference in freeze-out procedure.
0712.1419	hep-th/9803070	contrasts	high	The citing paper explicitly states that the cited paper did not consider certain energy scales and neutrino masses, implying a gap or correction.
0712.0484	0704.0060	contrasts	high	The citing paper explicitly states that the large deviations in [TARGET] are due to wrong experimental parameters, directly disputing [TARGET]'s claims.
0711.4677	0705.4669	contrasts	high	The citing paper explicitly states that arguments raised by Davids et al. are false or incorrect.
0711.2889	nucl-th/0701032	contrasts	low	recheck response unparseable, original label kept
0711.2889	0710.0016	contrasts	low	recheck response unparseable, original label kept
0711.2889	nucl-th/0301099	contrasts	low	recheck response unparseable, original label kept
0711.3724	nucl-th/0506058	uses	high	The citing paper uses the cited paper's finding (much larger elliptic flow than hydrodynamics) as evidence, not disputing it.
0711.3724	0708.0800	contrasts	high	The citing paper explicitly states that the cited paper's Gaussian model assumptions break down, creating a conceptual tension.
0712.2382	cond-mat/9810146	background	low	Context is too thin to establish a dispute with the cited paper.
0711.4042	hep-ph/0507071	uses	high	The citing paper references [TARGET] as a work that overcomes previous shortcomings, not as a disputed claim.
0712.0038	0709.3181	background	low	Context is too thin to establish a dispute with the cited paper.
0712.2195	nucl-th/0409038	background	low	Context mentions contradiction with other models but does not specify if [TARGET] itself is disputed.
0711.3366	nucl-th/0211010	uses	high	The citing paper distinguishes its terminology from the cited paper's model, not disputing its claims.
0711.3366	nucl-th/0302014	uses	high	Same context as item 1, only a terminology distinction, not a dispute.
0711.3366	0707.1251	contrasts	high	The citing paper states the cited parton transport approach predicts significantly smaller v2, a quantitative disagreement.
0710.4379	0709.0742	compares	medium	The context compares viscous results with the cited paper's claims, noting a difference in suppression magnitude but not asserting the cited paper is wrong.
0710.4379	nucl-th/0506049	contrasts	high	The citing paper explicitly says 'Contrary to previous reports' and states it has shown the opposite of the cited paper's claim.
0710.4379	nucl-th/0511046	contrasts	high	The citing paper explicitly says 'Contrary to previous reports' and states it has shown the opposite of the cited paper's claim.
0710.4379	hep-ph/0206230	uses	medium	The cited paper is mentioned as an exception to the general rule, but no dispute is asserted; it is used as a supporting example.
0710.4379	nucl-th/0205043	contrasts	high	The citing paper explicitly says 'Contrary to previous reports' and states it has shown the opposite of the cited paper's claim.
